like1,parP0,parHs,parD,parr,parphi_soil_top,parphi_weathered_top,parphi_fresh,simulation_0,chain
2.1389606,0.0001063618,0.6477342,0.0007668109,0.39888108,0.55690825,0.31398156,0.051066253,2.1389606,0.0
3.9401908,0.00017396412,0.39421147,0.0011644581,0.8706539,0.56739265,0.2996573,0.06096263,3.9401908,0.0
1.5563781,0.0001432243,0.69848835,0.00052581873,0.3709368,0.5702326,0.34388605,0.095048256,1.5563781,0.0
2.6187778,0.000149199,0.93524677,0.0016675706,0.66164535,0.47130716,0.25642306,0.069132596,2.6187778,0.0
2.649703,0.00016243353,0.13819961,0.0014729812,0.7943209,0.45530456,0.441108,0.07528702,2.649703,0.0
1.4238018,0.00018862395,0.7567851,0.00045492064,0.5182278,0.5478873,0.32221472,0.08092904,1.4238018,0.0
3.1374013,5.0558476e-05,0.9258601,0.0018671434,0.8019761,0.53629583,0.42798737,0.062959,3.1374013,0.0
3.8367367,4.5178967e-05,0.9102736,0.00023387221,0.89850837,0.5549976,0.28745708,0.06914606,3.8367367,0.0
1.973686,3.941892e-05,0.5903803,0.0009967511,0.4782351,0.58850926,0.30083978,0.06354037,1.973686,0.0
1.7055827,0.00016943745,0.40941817,0.0019735664,0.32260588,0.49727827,0.3750322,0.058152884,1.7055827,0.0
2.3820345,0.00018323194,0.14910658,0.0006233574,0.8309052,0.52768433,0.36504817,0.09039764,2.3820345,0.0
1.7651507,0.00016988104,0.3665622,0.00044332084,0.40236527,0.54364216,0.4367844,0.057067182,1.7651507,0.0
1.4446127,0.00015566936,0.51009583,0.0019522095,0.605664,0.5031846,0.3328017,0.09036383,1.4446127,0.0
1.7126269,0.00010482284,0.55526936,0.0019180558,0.7213975,0.5463921,0.399874,0.091288276,1.7126269,0.0
2.0302691,9.641279e-05,0.99485284,0.0013564646,0.81930774,0.55108225,0.3407764,0.096856564,2.0302691,0.0
1.2065411,3.6260408e-05,0.4116244,0.00017511964,0.5571272,0.5811286,0.330911,0.09957341,1.2065411,0.0
2.5311303,0.00011480132,0.40612578,0.0012624935,0.8539049,0.5541604,0.2658659,0.09588812,2.5311303,0.0
2.8992898,9.3322196e-05,0.64085037,0.0011372437,0.90215737,0.5348265,0.26802862,0.09523305,2.8992898,0.0
2.1601648,9.844214e-05,0.7171382,0.001436516,0.83388704,0.5166831,0.35189676,0.097255304,2.1601648,0.0
2.5599816,8.610167e-05,0.6152885,0.00016549067,0.6467995,0.5847945,0.3971561,0.056693874,2.5599816,0.0
2.0169992,9.366552e-05,0.6945846,0.0006161669,0.7990895,0.45135686,0.4092982,0.09277643,2.0169992,0.0
2.3394268,7.46903e-05,0.17209287,0.0018293426,0.533456,0.5706453,0.2634502,0.064549945,2.3394268,0.0
1.8196279,0.00018937858,0.5182368,0.0009077945,0.32979113,0.5227391,0.4450187,0.07921889,1.8196279,0.0
1.890044,0.00016946852,0.8735713,0.00085881306,0.33098608,0.45229864,0.38198382,0.09641871,1.890044,0.0
1.9735647,5.218838e-05,0.33551195,0.001008391,0.40338176,0.5042706,0.25375718,0.06467099,1.9735647,0.0
3.1863723,9.868749e-05,0.29784977,0.001976349,0.8165043,0.57911175,0.310693,0.07008345,3.1863723,0.0
1.5605763,0.00013282815,0.16589324,0.001639422,0.5864927,0.51878065,0.31527966,0.085754886,1.5605763,0.0
3.2566931,0.00016357671,0.2900194,0.0005668869,0.8677289,0.5168953,0.40599927,0.074275956,3.2566931,0.0
1.358889,4.8523234e-05,0.84873074,0.0017948828,0.28985304,0.59775305,0.25834477,0.09924741,1.358889,0.0
4.7391653,0.00012964605,0.30812398,0.00037614457,0.93334335,0.5512606,0.35962006,0.054060947,4.7391653,0.0
1.78801,0.00012445769,0.7759979,0.0010913573,0.39125586,0.5843933,0.27042362,0.06504047,1.78801,0.0
2.0156786,5.2449366e-05,0.25422,0.000390908,0.3341026,0.59238094,0.39630067,0.09771616,2.0156786,0.0
2.0971606,3.0059187e-05,0.9543656,0.001311096,0.2679479,0.46244833,0.43159977,0.08457016,2.0971606,0.0
1.549548,0.00015367966,0.9256166,0.0016838221,0.6493501,0.45621374,0.2768657,0.09623973,1.549548,0.0
3.030286,8.899526e-05,0.13520154,0.00061138615,0.9076521,0.53590447,0.39478302,0.09168687,3.030286,0.0
2.6480567,0.00010330351,0.38472977,0.0012529475,0.6424419,0.4669909,0.39462814,0.056324538,2.6480567,0.0
1.3650237,3.610023e-05,0.31755278,0.0017819266,0.4845497,0.52584547,0.44211566,0.08048839,1.3650237,0.0
2.9188414,8.2447004e-05,0.4182045,0.0019047343,0.61401993,0.46350762,0.3349932,0.051507477,2.9188414,0.0
1.8981278,8.148717e-05,0.29655427,0.00043384146,0.391187,0.50673187,0.27796552,0.06197153,1.8981278,0.0
1.2309635,0.00014691464,0.22120982,0.0015330125,0.4075246,0.48545387,0.25487423,0.091314025,1.2309635,0.0
3.292731,0.00012386657,0.99015254,0.0015654939,0.7684365,0.53558683,0.3236338,0.05708172,3.292731,0.0
2.1790376,0.00010613296,0.51262784,0.0008515366,0.32708737,0.46652237,0.44512072,0.096927285,2.1790376,0.0
1.9965647,0.00018953523,0.4875423,0.0017453692,0.33545652,0.55419946,0.40871486,0.09761286,1.9965647,0.0
